id,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)"
31,Cyprus University of Technology,Vytautas Magnus University,1,"3868,4",16,"2243583,75",Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0
32,Cyprus University of Technology,Riga Technical University,1,"4134,4",30,"6280618,51",Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0
33,Cyprus University of Technology,Semmelweis University,0,"2591,8",26,"5575205,96",Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1
34,Cyprus University of Technology,Poznań University of Technology,0,"3501,7",17,"5388254,48",Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0
35,Cyprus University of Technology,Adam Mickiewicz University,0,"3494,7",30,"4476852,14",Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0
36,Cyprus University of Technology,Vilnius Gediminas Technical University,1,3983,21,"1953341,4",Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0
37,Cyprus University of Technology,Silesian University of Technology,1,"3148,7",14,"4455062,99",Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0
38,Cyprus University of Technology,Szeged University,0,"2440,7",22,"4436448,26",Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0
39,Cyprus University of Technology,Wroclaw University of Science & Technology,3,"3315,8",27,"4394292,98",Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0
40,Cyprus University of Technology,University of Debrecen,3,"2670,5",36,"3928536,47",University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0
41,Cyprus University of Technology,University of Pecs,0,"2553,6",11,"3240164,06",University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0
42,Cyprus University of Technology,University of Gdansk,1,"3685,5",12,"3671677,64",University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0
43,Cyprus University of Technology,Warsaw University of Life Sciences,0,"3476,2",17,"3463222,01",Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0
44,Cyprus University of Technology,University of Bucharest,1,"1910,3",27,"3451021,61",University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0
45,Cyprus University of Technology,Medical University of Bialystok,0,"3662,1",1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0
46,Cyprus University of Technology,Babes Bolyai University from Cluj,0,"2355,1",16,"3429908,06",Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A
47,Cyprus University of Technology,Nicolaus Copernicus University,2,3520,14,"2737620,35",Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0
48,Cyprus University of Technology,Lodz University of Technology,3,"3357,6",13,"2612464,44",Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0
49,Cyprus University of Technology,TECHNICAL UNIVERSITY OF SOFIA,0,"1817,4",16,"3323848,36",Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A
50,Cyprus University of Technology,Poznan University of Medical Sciences,0,"3499,6",7,"2323038,57",Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0
51,Cyprus University of Technology,University of Zagreb,16,"2502,4",57,"13961302,95",University of Zagreb,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A
52,Cyprus University of Technology,University of Warmia & Mazury,4,"3622,8",11,"2215533,75",University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0
53,Cyprus University of Technology,University of Lodz,0,"3358,1",17,"2169549,13",University of Łódź,PL,LODZ,PL711,"51.8575538,19.4145321",10129,4147,2720,1,25000,804,1038,1842,0
54,Cyprus University of Technology,Wroclaw University of Environmental & Life Sciences,0,"3315,4",8,"2037715,48",Wroclaw University of Environmental & Life Sciences,PL,Wroclaw,PL514,"51.111086,17.0637697",25895,11422,7570,1,8000,1230,627,1857,0
55,Cyprus University of Technology,Medical University of Warsaw,0,"3447,4",4,"1912047,45",Medical University of Warsaw,PL,Warszawa,PL911,"52.2337172,21.0714156104111",11524,5678,3695,1,9764,1323,551,1874,0
56,Cyprus University of Technology,Iuliu Hatieganu University of Medicine & Pharmacy,2,"2353,8",13,"2973457,64",Iuliu Hatieganu University of Medicine & Pharmacy,RO,Cluj-Napoca,RO113,"46.7693367,23.5900604",11524,5678,3695,0,7153,1323,551,1874,0
57,Cyprus University of Technology,Transylvania University of Brasov,2,"2093,1",7,"1577328,75",Transylvania University of Brasov,RO,Brasov,RO122,"45.6453253,25.5887936",10697,4420,3058,0,20885,2031,1623,3654,0
58,Cyprus University of Technology,Alexandru Ioan Cuza University,2,"2269,4",9,"1177769,69",Alexandru Ioan Cuza University,RO,Iasi,RO213,"47.1748687,27.5712428965192",16618,3015,3015,0,40000,5150,1985,7135,0
59,Cyprus University of Technology,West University of Timisoara,2,"2329,9",9,"1120190,63",West University of Timisoara,RO,Timisoara,RO424,"45.7476982,21.2283814",7740,3244,1698,0,13805,2344,1630,3974,0
60,Cyprus University of Technology,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",0,2264,2,"1030937,5","George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",RO,Targu Mures,RO125,"46.5549736,24.581610724795418",5919,3143,1309,0,11000,3803,382,4185,0
61,Cyprus University of Technology,University of Craiova,0,"2058,8",13,"966062,58",University of Craiova,RO,Craiova,RO411,"44.3190159,23.7965614",8205,3246,1653,0,23000,1664,525,2189,0
62,Cyprus University of Technology,University of Split,2,"3017,3",17,"3030046,45",University of Split,HR,Split,HR035,"43.507775,16.4690500081942",15904,6252,4056,1,26000,2093,1415,3508,N/A
63,Cyprus University of Technology,UNIVERSITY OF RIJEKA,0,"2772,2",12,"1908024,95",University of Rijeka,HR,Rijeka,HR031,"45.28335145,14.537789935157118",14744,5403,3574,1,3000,1562,2058,3620,N/A
64,Cyprus University of Technology,Technical University Kosice,0,"2845,3",13,"2964780,5",Technical University Kosice,SK,Kosice,SK042,"48.7250478,20.4102986",13801,6791,2888,1,9999,1480,957,2437,0
65,Cyprus University of Technology,University of Pavol Jozef Safarik Kosice,0,"2843,9",4,"1838822,09",University of Pavol Jozef Safarik Kosice,SK,Kosice,SK042,"48.7200293,21.2573061",12454,4274,2361,1,7000,2183,1083,3266,0
1,Sofia University,UNIVERSITY OF CYPRUS,0,"5329,3",123,"58094901,65",UNIVERSITY OF CYPRUS,CY,Nicosia,CY000,"35.1739302,33.364726",16954,6697,4392,0,6875,1931,1902,3833,1
2,Sofia University,University of Tartu,0,4267,135,"52444253,64",University of Tartu,EE,Tartu,EE008,"58.3807628,26.7194208",34713,12022,7351,0,14000,2823,3227,6050,1
3,Sofia University,University of Ljubljana,0,"2663,9",163,"48273117,5",University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0
4,Sofia University,Masaryk University Brno,0,"2950,7",89,"42184054,1",Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A
5,Sofia University,Charles University Prague,1,"1290,6",88,"33702351,18",Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A
6,Sofia University,Czech Technical University Prague,0,1297,81,"32924004,68",Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1
7,Sofia University,Tallinn University of Technology,0,"4324,7",69,"30065589,57",Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0
8,Sofia University,University of Warsaw,0,"3367,7",96,"28918622,74",University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1
9,Sofia University,Brno University of Technology,0,"2951,8",60,"27386453,32",Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0
10,Sofia University,National University of Science & Technology POLITEHNICA Bucharest,0,"3805,8",47,"21262969,32",National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0
11,Sofia University,Central European University,0,"769,4",46,"20575367,03",Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A
12,Sofia University,Budapest University of Technology & Economics,0,"768,7",62,"19329058,92",Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0
13,Sofia University,Cyprus University of Technology,0,"1818,8",54,"19267425,71",Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0
15,Sofia University,AGH University of Krakow,1,"1161,3",54,"16553204,24",AGH University of Krakow,PL,Krakow,PL213,"50.0600082,19.924412",41427,16361,8756,1,20240,1950,2886,4836,0
16,Sofia University,University of Latvia,1,"2307,9",41,"9299962,74",University of Latvia,LV,RIGA,LV006,"56.9493977,24.1051846",19782,7466,3496,1,15250,1824,3211,5035,0
17,Sofia University,Warsaw University of Technology,1,"1622,3",52,"13923689,97",Warsaw University of Technology,PL,WARSZAWA,PL911,"52.22165395,21.0073577612511",43300,15433,7129,1,25021,2216,2715,4931,0
18,Sofia University,Alexander Dubcek University Trencin,1,"1091,1",2,"12689962,5",Alexander Dubcek University Trencin,SK,Trencin,SK022,"48.8986312,18.0474701",1813,824,486,1,2999,525,323,848,N/A
19,Sofia University,Jagiellonian University,1,"1160,7",52,"11901816,01",Jagiellonian University,PL,Krakow,PL213,"50.0609779,19.9328423",77297,25822,15766,1,33549,6043,6706,12749,1
20,Sofia University,Eötvös Loránd University,1,768,28,"11078888,54",Eötvös Loránd University,HU,Budapest,HU110,"47.490360949999996,19.058302460603027",28687,10656,7417,0,28542,4956,5719,10675,0
21,Sofia University,Kaunas University of Technology,1,"2045,6",44,"10065665,09",Kaunas University of Technology,LT,Kaunas,LT022,"54.89877845,23.9126328823828",13691,4436,2525,1,16400,3463,2092,5555,0
22,Sofia University,Technical University of Ostrava,1,0,26,"9844313,6",Technical University of Ostrava,CZ,Ostrava Poruba,CZ080,"49.8336617,18.1636336",18131,8543,3774,1,23558,1799,3203,5002,0
23,Sofia University,Polytechnic Zagreb,1,"785,9",31,"9400475,63",Polytechnic Zagreb,HR,Zagreb,HR050,"45.8010282,15.9708835",132,48,1,1,4300,,,,N/A
24,Sofia University,Comenius University Bratislava,1,"965,2",23,"8495864,6",Comenius University Bratislava,SK,Bratislava,SK010,"48.1410559,17.1151675874717",34517,12980,7133,1,22817,5147,3815,8962,0
25,Sofia University,Slovak University of Technology Bratislava,1,"965,9",37,"8072537,81",Slovak University of Technology Bratislava,SK,Bratislava,SK010,"48.1548901,17.1178281260007",23792,7705,2929,1,14500,1942,1445,3387,0
26,Sofia University,Vilnius University,1,2150,36,"8047928,93",Vilnius University,LT,Vilnius,LT011,"54.682708,25.2866715",28583,9744,6204,1,23517,6940,4372,11312,1
27,Sofia University,Gdańsk University of Technology,1,"1852,8",20,"7997194,85",Gdańsk University of Technology,PL,GDANSK,PL633,"54.3482259,18.6542888",22906,8024,5202,1,14816,2978,2314,5292,0
28,Sofia University,"University of Chemistry & Technology, Prague",1,"1298,5",25,"7476542,92","University of Chemistry & Technology, Prague",CZ,Praha,CZ010,"50.103351,14.3898299",19911,5675,3184,1,3606,632,1405,2037,0
29,Sofia University,University of Maribor,1,"903,8",32,"6926672,29",University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0
30,Sofia University,Technical University of Cluj-Napoca,1,"803,8",27,"6678885,07",Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0
31,Sofia University,Vytautas Magnus University,1,"2041,8",16,"2243583,75",Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0
32,Sofia University,Riga Technical University,1,"2307,8",30,"6280618,51",Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0
33,Sofia University,Semmelweis University,1,"765,2",26,"5575205,96",Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1
34,Sofia University,Poznań University of Technology,1,"1675,1",17,"5388254,48",Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0
35,Sofia University,Adam Mickiewicz University,1,"1671,8",30,"4476852,14",Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0
36,Sofia University,Vilnius Gediminas Technical University,1,"2156,4",21,"1953341,4",Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0
37,Sofia University,Silesian University of Technology,1,"1322,1",14,"4455062,99",Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0
38,Sofia University,Szeged University,1,"614,1",22,"4436448,26",Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0
39,Sofia University,Wroclaw University of Science & Technology,1,"1489,2",27,"4394292,98",Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0
40,Sofia University,University of Debrecen,1,"843,9",36,"3928536,47",University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0
41,Sofia University,University of Pecs,1,"727,1",11,"3240164,06",University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0
42,Sofia University,University of Gdansk,1,"1858,9",12,"3671677,64",University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0
43,Sofia University,Warsaw University of Life Sciences,1,"1649,6",17,"3463222,01",Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0
44,Sofia University,University of Bucharest,1,"356,3",27,"3451021,61",University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0
45,Sofia University,Medical University of Bialystok,1,"1835,5",1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0
46,Sofia University,Babes Bolyai University from Cluj,1,"803,3",16,"3429908,06",Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A
47,Sofia University,Nicolaus Copernicus University,1,"1693,4",14,"2737620,35",Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0
48,Sofia University,Lodz University of Technology,1,1531,13,"2612464,44",Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0
49,Sofia University,TECHNICAL UNIVERSITY OF SOFIA,1,"7,2",16,"3323848,36",Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A
50,Sofia University,Poznan University of Medical Sciences,1,"1673,1",7,"2323038,57",Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0
51,Sofia University,University of Zagreb,3,"675,9",57,"13961302,95",University of Zagreb,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A
52,Sofia University,University of Warmia & Mazury,1,"1796,2",11,"2215533,75",University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0
53,Sofia University,University of Lodz,1,"1531,6",17,"2169549,13",University of Łódź,PL,LODZ,PL711,"51.8575538,19.4145321",10129,4147,2720,1,25000,804,1038,1842,0
54,Sofia University,Wroclaw University of Environmental & Life Sciences,1,"1488,8",8,"2037715,48",Wroclaw University of Environmental & Life Sciences,PL,Wroclaw,PL514,"51.111086,17.0637697",25895,11422,7570,1,8000,1230,627,1857,0
55,Sofia University,Medical University of Warsaw,1,"1620,8",4,"1912047,45",Medical University of Warsaw,PL,Warszawa,PL911,"52.2337172,21.0714156104111",11524,5678,3695,1,9764,1323,551,1874,0
56,Sofia University,Iuliu Hatieganu University of Medicine & Pharmacy,1,802,13,"2973457,64",Iuliu Hatieganu University of Medicine & Pharmacy,RO,Cluj-Napoca,RO113,"46.7693367,23.5900604",11524,5678,3695,0,7153,1323,551,1874,0
57,Sofia University,Transylvania University of Brasov,1,"547,1",7,"1577328,75",Transylvania University of Brasov,RO,Brasov,RO122,"45.6453253,25.5887936",10697,4420,3058,0,20885,2031,1623,3654,0
58,Sofia University,Alexandru Ioan Cuza University,1,"758,8",9,"1177769,69",Alexandru Ioan Cuza University,RO,Iasi,RO213,"47.1748687,27.5712428965192",16618,3015,3015,0,40000,5150,1985,7135,0
59,Sofia University,West University of Timisoara,1,"503,4",9,"1120190,63",West University of Timisoara,RO,Timisoara,RO424,"45.7476982,21.2283814",7740,3244,1698,0,13805,2344,1630,3974,0
60,Sofia University,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",1,"630,5",2,"1030937,5","George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",RO,Targu Mures,RO125,"46.5549736,24.581610724795418",5919,3143,1309,0,11000,3803,382,4185,0
61,Sofia University,University of Craiova,1,254,13,"966062,58",University of Craiova,RO,Craiova,RO411,"44.3190159,23.7965614",8205,3246,1653,0,23000,1664,525,2189,0
62,Sofia University,University of Split,1,"1190,7",17,"3030046,45",University of Split,HR,Split,HR035,"43.507775,16.4690500081942",15904,6252,4056,1,26000,2093,1415,3508,N/A
63,Sofia University,UNIVERSITY OF RIJEKA,1,"945,7",12,"1908024,95",University of Rijeka,HR,Rijeka,HR031,"45.28335145,14.537789935157118",14744,5403,3574,1,3000,1562,2058,3620,N/A
64,Sofia University,Technical University Kosice,1,"1018,7",13,"2964780,5",Technical University Kosice,SK,Kosice,SK042,"48.7250478,20.4102986",13801,6791,2888,1,9999,1480,957,2437,0
65,Sofia University,University of Pavol Jozef Safarik Kosice,1,"1017,3",4,"1838822,09",University of Pavol Jozef Safarik Kosice,SK,Kosice,SK042,"48.7200293,21.2573061",12454,4274,2361,1,7000,2183,1083,3266,0
1,AGH University of Krakow,UNIVERSITY OF CYPRUS,324,"2910,8",123,"58094901,65",UNIVERSITY OF CYPRUS,CY,Nicosia,CY000,"35.1739302,33.364726",16954,6697,4392,0,6875,1931,1902,3833,1
2,AGH University of Krakow,University of Tartu,9,"1206,4",135,"52444253,64",University of Tartu,EE,Tartu,EE008,"58.3807628,26.7194208",34713,12022,7351,0,14000,2823,3227,6050,1
3,AGH University of Krakow,University of Ljubljana,1540,"832,4",163,"48273117,5",University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0
4,AGH University of Krakow,Masaryk University Brno,23,331,89,"42184054,1",Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A
5,AGH University of Krakow,Charles University Prague,1922,"534,1",88,"33702351,18",Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A
6,AGH University of Krakow,Czech Technical University Prague,1689,"540,4",81,"32924004,68",Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1
7,AGH University of Krakow,Tallinn University of Technology,7,"1264,1",69,"30065589,57",Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0
8,AGH University of Krakow,University of Warsaw,1225,"290,7",96,"28918622,74",University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1
9,AGH University of Krakow,Brno University of Technology,68,"332,9",60,"27386453,32",Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0
10,AGH University of Krakow,National University of Science & Technology POLITEHNICA Bucharest,1333,"1106,4",47,"21262969,32",National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0
11,AGH University of Krakow,Central European University,1,"403,4",46,"20575367,03",Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A
12,AGH University of Krakow,Budapest University of Technology & Economics,26,"406,1",62,"19329058,92",Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0
13,AGH University of Krakow,Cyprus University of Technology,1,"2987,9",54,"19267425,71",Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0
14,AGH University of Krakow,Sofia University,1,"1161,3",34,"19079908,91",Sofia University,BG,Sofia,BG411,"42.6978634,23.3221789",35,24,6,1,22490,1321,718,2039,0
16,AGH University of Krakow,University of Latvia,33,"968,1",41,"9299962,74",University of Latvia,LV,RIGA,LV006,"56.9493977,24.1051846",19782,7466,3496,1,15250,1824,3211,5035,0
17,AGH University of Krakow,Warsaw University of Technology,990,"289,4",52,"13923689,97",Warsaw University of Technology,PL,WARSZAWA,PL911,"52.22165395,21.0073577612511",43300,15433,7129,1,25021,2216,2715,4931,0
18,AGH University of Krakow,Alexander Dubcek University Trencin,9,"310,2",2,"12689962,5",Alexander Dubcek University Trencin,SK,Trencin,SK022,"48.8986312,18.0474701",1813,824,486,1,2999,525,323,848,N/A
19,AGH University of Krakow,Jagiellonian University,4424,2,52,"11901816,01",Jagiellonian University,PL,Krakow,PL213,"50.0609779,19.9328423",77297,25822,15766,1,33549,6043,6706,12749,1
20,AGH University of Krakow,Eötvös Loránd University,0,"405,2",28,"11078888,54",Eötvös Loránd University,HU,Budapest,HU110,"47.490360949999996,19.058302460603027",28687,10656,7417,0,28542,4956,5719,10675,0
21,AGH University of Krakow,Kaunas University of Technology,20,"705,8",44,"10065665,09",Kaunas University of Technology,LT,Kaunas,LT022,"54.89877845,23.9126328823828",13691,4436,2525,1,16400,3463,2092,5555,0
22,AGH University of Krakow,Technical University of Ostrava,115,0,26,"9844313,6",Technical University of Ostrava,CZ,Ostrava Poruba,CZ080,"49.8336617,18.1636336",18131,8543,3774,1,23558,1799,3203,5002,0
23,AGH University of Krakow,Polytechnic Zagreb,0,"823,2",31,"9400475,63",Polytechnic Zagreb,HR,Zagreb,HR050,"45.8010282,15.9708835",132,48,1,1,4300,,,,N/A
24,AGH University of Krakow,Comenius University Bratislava,1590,"454,6",23,"8495864,6",Comenius University Bratislava,SK,Bratislava,SK010,"48.1410559,17.1151675874717",34517,12980,7133,1,22817,5147,3815,8962,0
25,AGH University of Krakow,Slovak University of Technology Bratislava,31,"453,1",37,"8072537,81",Slovak University of Technology Bratislava,SK,Bratislava,SK010,"48.1548901,17.1178281260007",23792,7705,2929,1,14500,1942,1445,3387,0
26,AGH University of Krakow,Vilnius University,331,"810,2",36,"8047928,93",Vilnius University,LT,Vilnius,LT011,"54.682708,25.2866715",28583,9744,6204,1,23517,6940,4372,11312,1
27,AGH University of Krakow,Gdańsk University of Technology,0,"597,8",20,"7997194,85",Gdańsk University of Technology,PL,GDANSK,PL633,"54.3482259,18.6542888",22906,8024,5202,1,14816,2978,2314,5292,0
28,AGH University of Krakow,"University of Chemistry & Technology, Prague",10,"540,9",25,"7476542,92","University of Chemistry & Technology, Prague",CZ,Praha,CZ010,"50.103351,14.3898299",19911,5675,3184,1,3606,632,1405,2037,0
29,AGH University of Krakow,University of Maribor,13,"710,1",32,"6926672,29",University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0
30,AGH University of Krakow,Technical University of Cluj-Napoca,0,"680,5",27,"6678885,07",Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0
31,AGH University of Krakow,Vytautas Magnus University,5,702,16,"2243583,75",Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0
32,AGH University of Krakow,Riga Technical University,313,968,30,"6280618,51",Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0
33,AGH University of Krakow,Semmelweis University,0,"406,4",26,"5575205,96",Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1
34,AGH University of Krakow,Poznań University of Technology,0,"456,3",17,"5388254,48",Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0
35,AGH University of Krakow,Adam Mickiewicz University,123,"455,3",30,"4476852,14",Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0
36,AGH University of Krakow,Vilnius Gediminas Technical University,8,"816,6",21,"1953341,4",Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0
37,AGH University of Krakow,Silesian University of Technology,492,"102,9",14,"4455062,99",Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0
38,AGH University of Krakow,Szeged University,28,"566,2",22,"4436448,26",Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0
