id,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)"
28,UNIVERSITY OF CYPRUS,University of Maribor,27,"2653,2",32,"6926672,29",University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0
29,UNIVERSITY OF CYPRUS,Technical University of Cluj-Napoca,0,"2278,4",27,"6678885,07",Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0
30,UNIVERSITY OF CYPRUS,Vytautas Magnus University,3,"3791,2",16,"2243583,75",Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0
31,UNIVERSITY OF CYPRUS,Riga Technical University,731,"4057,2",30,"6280618,51",Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0
32,UNIVERSITY OF CYPRUS,Semmelweis University,18,"2514,6",26,"5575205,96",Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1
33,UNIVERSITY OF CYPRUS,Poznań University of Technology,0,"3422,8",17,"5388254,48",Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0
34,UNIVERSITY OF CYPRUS,Adam Mickiewicz University,33,"3418,2",30,"4476852,14",Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0
35,UNIVERSITY OF CYPRUS,Vilnius Gediminas Technical University,0,"3905,8",21,"1953341,4",Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0
36,UNIVERSITY OF CYPRUS,Silesian University of Technology,4,"3071,5",14,"4455062,99",Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0
37,UNIVERSITY OF CYPRUS,Szeged University,12,"2363,5",22,"4436448,26",Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0
38,UNIVERSITY OF CYPRUS,Wroclaw University of Science & Technology,8,"3238,6",27,"4394292,98",Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0
39,UNIVERSITY OF CYPRUS,University of Debrecen,1739,"2593,3",36,"3928536,47",University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0
40,UNIVERSITY OF CYPRUS,University of Pecs,25,"2476,5",11,"3240164,06",University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0
41,UNIVERSITY OF CYPRUS,University of Gdansk,2,"3608,3",12,"3671677,64",University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0
42,UNIVERSITY OF CYPRUS,Warsaw University of Life Sciences,0,3399,17,"3463222,01",Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0
43,UNIVERSITY OF CYPRUS,University of Bucharest,379,"1833,1",27,"3451021,61",University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0
