,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)",avg contrib per project,contrib horizon % of total,,var1,var2,var3,var4,var5,var6,var7,var8,var9
1,Charles University Prague,UNIVERSITY OF CYPRUS,1301,"3041,9",123,58094901.65,UNIVERSITY OF CYPRUS,CY,Nicosia,CY000,"35.1739302,33.364726",16954,6697,4392,0,6875,1931,1902,3833,1,472316.2736,8.375038684,,,,,,,,,,
2,Charles University Prague,University of Tartu,334,"1538,6",135,52444253.64,University of Tartu,EE,Tartu,EE008,"58.3807628,26.7194208",34713,12022,7351,0,14000,2823,3227,6050,1,388475.9529,7.560433713,,,,,,,,,,
3,Charles University Prague,University of Ljubljana,2360,"707,8",163,48273117.5,University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0,296154.0951,6.959117151,,,,,,,,,,
4,Charles University Prague,Masaryk University Brno,3841,"208,2",89,42184054.1,Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A,473978.136,6.081309631,,,,,,,,,,
6,Charles University Prague,Czech Technical University Prague,4659,"3,5",81,32924004.68,Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1,406469.1936,4.746368528,,,,,,,,,,
7,Charles University Prague,Tallinn University of Technology,54,"1602,8",69,30065589.57,Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0,435733.1822,4.329437632,,,,,,,,,,
8,Charles University Prague,University of Warsaw,2096,"639,8",96,28918622.74,University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1,301235.6535,4.164274685,,,,,,,,,,
9,Charles University Prague,Brno University of Technology,511,210,60,27386453.32,Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0,456440.8887,3.943642659,,,,,,,,,,
10,Charles University Prague,National University of Science & Technology POLITEHNICA Bucharest,1319,1351,47,21262969.32,National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0,452403.6026,3.061862443,,,,,,,,,,
11,Charles University Prague,Central European University,13,"529,4",46,20575367.03,Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A,447290.5876,2.96284788,,,,,,,,,,
12,Charles University Prague,Budapest University of Technology & Economics,33,"526,7",62,19329058.92,Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0,311759.0148,2.783379813,,,,,,,,,,
13,Charles University Prague,Cyprus University of Technology,31,"3113,5",54,19267425.71,Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0,356804.1798,2.774504646,,,,,,,,,,
14,Charles University Prague,Sofia University,1,"1290,6",34,19079908.91,Sofia University,BG,Sofia,BG411,"42.6978634,23.3221789",35,24,6,1,22490,1321,718,2039,0,561173.7915,2.747502272,,,,,,,,,,
15,Charles University Prague,AGH University of Krakow,1922,"534,1",54,16553204.24,AGH University of Krakow,PL,Krakow,PL213,"50.0600082,19.924412",41427,16361,8756,1,20240,1950,2886,4836,0,306540.8193,2.38365741,,,,,,,,,,
16,Charles University Prague,University of Latvia,127,"1300,2",41,9299962.74,University of Latvia,LV,RIGA,LV006,"56.9493977,24.1051846",19782,7466,3496,1,15250,1824,3211,5035,0,226828.3595,1.339192387,,,,,,,,,,
17,Charles University Prague,Warsaw University of Technology,818,"639,2",52,13923689.97,Warsaw University of Technology,PL,WARSZAWA,PL911,"52.22165395,21.0073577612511",43300,15433,7129,1,25021,2216,2715,4931,0,267763.2687,2.005007991,,,,,,,,,,
18,Charles University Prague,Alexander Dubcek University Trencin,10,"337,4",2,12689962.5,Alexander Dubcek University Trencin,SK,Trencin,SK022,"48.8986312,18.0474701",1813,824,486,1,2999,525,323,848,N/A,6344981.25,1.827351533,,,,,,,,,,
19,Charles University Prague,Jagiellonian University,2079,"535,8",52,11901816.01,Jagiellonian University,PL,Krakow,PL213,"50.0609779,19.9328423",77297,25822,15766,1,33549,6043,6706,12749,1,228881.0771,1.713858629,,,,,,,,,,
20,Charles University Prague,Eötvös Loránd University,1828,528,28,11078888.54,Eötvös Loránd University,HU,Budapest,HU110,"47.490360949999996,19.058302460603027",28687,10656,7417,0,28542,4956,5719,10675,0,395674.5907,1.595357272,,,,,,,,,,
21,Charles University Prague,Kaunas University of Technology,13,"1037,9",44,10065665.09,Kaunas University of Technology,LT,Kaunas,LT022,"54.89877845,23.9126328823828",13691,4436,2525,1,16400,3463,2092,5555,0,228765.1157,1.44945334,,,,,,,,,,
22,Charles University Prague,Technical University of Ostrava,446,0,26,9844313.6,Technical University of Ostrava,CZ,Ostrava Poruba,CZ080,"49.8336617,18.1636336",18131,8543,3774,1,23558,1799,3203,5002,0,378627.4462,1.417578779,,,,,,,,,,
23,Charles University Prague,Polytechnic Zagreb,1,"696,6",31,9400475.63,Polytechnic Zagreb,HR,Zagreb,HR050,"45.8010282,15.9708835",132,48,1,1,4300,,,,N/A,303241.1494,1.353666219,,,,,,,,,,
24,Charles University Prague,Comenius University Bratislava,1,"332,5",23,8495864.6,Comenius University Bratislava,SK,Bratislava,SK010,"48.1410559,17.1151675874717",34517,12980,7133,1,22817,5147,3815,8962,0,369385.4174,1.223402449,,,,,,,,,,
25,Charles University Prague,Slovak University of Technology Bratislava,160,"331,1",37,8072537.81,Slovak University of Technology Bratislava,SK,Bratislava,SK010,"48.1548901,17.1178281260007",23792,7705,2929,1,14500,1942,1445,3387,0,218176.6976,1.162443494,,,,,,,,,,
26,Charles University Prague,Vilnius University,1520,"1142,3",36,8047928.93,Vilnius University,LT,Vilnius,LT011,"54.682708,25.2866715",28583,9744,6204,1,23517,6940,4372,11312,1,223553.5814,1.158899821,,,,,,,,,,
27,Charles University Prague,Gdańsk University of Technology,16,"737,7",20,7997194.85,Gdańsk University of Technology,PL,GDANSK,PL633,"54.3482259,18.6542888",22906,8024,5202,1,14816,2978,2314,5292,0,399859.7425,1.151594126,,,,,,,,,,
28,Charles University Prague,"University of Chemistry & Technology, Prague",1744,"3,3",25,7476542.92,"University of Chemistry & Technology, Prague",CZ,Praha,CZ010,"50.103351,14.3898299",19911,5675,3184,1,3606,632,1405,2037,0,299061.7168,1.076620374,,,,,,,,,,
29,Charles University Prague,University of Maribor,367,"583,4",32,6926672.29,University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0,216458.5091,0.997439136,,,,,,,,,,
30,Charles University Prague,Technical University of Cluj-Napoca,2,991,27,6678885.07,Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0,247366.1137,0.961757836,,,,,,,,,,
31,Charles University Prague,Vytautas Magnus University,14,"1034,1",16,2243583.75,Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0,140223.9844,0.323075518,,,,,,,,,,
32,Charles University Prague,Riga Technical University,738,1300,30,6280618.51,Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0,209353.9503,0.904407548,,,,,,,,,,
33,Charles University Prague,Semmelweis University,579,"529,6",26,5575205.96,Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1,214430.9985,0.802828311,,,,,,,,,,
34,Charles University Prague,Poznań University of Technology,12,"433,2",17,5388254.48,Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0,316956.1459,0.775907343,,,,,,,,,,
35,Charles University Prague,Adam Mickiewicz University,1,"432,3",30,4476852.14,Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0,149228.4047,0.644665626,,,,,,,,,,
36,Charles University Prague,Vilnius Gediminas Technical University,1,"1148,7",21,1953341.4,Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0,93016.25714,0.28128069,,,,,,,,,,
37,Charles University Prague,Silesian University of Technology,1,"443,5",14,4455062.99,Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0,318218.785,0.641527994,,,,,,,,,,
38,Charles University Prague,Szeged University,1,"693,5",22,4436448.26,Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0,201656.7391,0.638847477,,,,,,,,,,
39,Charles University Prague,Wroclaw University of Science & Technology,1,289,27,4394292.98,Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0,162751.5919,0.632777127,,,,,,,,,,
40,Charles University Prague,University of Debrecen,1,"758,5",36,3928536.47,University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0,109126.0131,0.565708302,,,,,,,,,,
41,Charles University Prague,University of Pecs,1,"710,8",11,3240164.06,University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0,294560.3691,0.466582842,,,,,,,,,,
42,Charles University Prague,University of Gdansk,1,"743,8",12,3671677.64,University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0,305973.1367,0.528720693,,,,,,,,,,
43,Charles University Prague,Warsaw University of Life Sciences,1,"641,9",17,3463222.01,Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0,203718.9418,0.498703132,,,,,,,,,,
44,Charles University Prague,University of Bucharest,1,"1355,1",27,3451021.61,University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0,127815.6152,0.496946278,,,,,,,,,,
45,Charles University Prague,Medical University of Bialystok,1,"827,8",1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0,3139200,0.452044041,,,,,,,,,,
46,Charles University Prague,Babes Bolyai University from Cluj,1,"991,8",16,3429908.06,Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A,214369.2538,0.493905932,,,,,,,,,,
47,Charles University Prague,Nicolaus Copernicus University,1,"613,1",14,2737620.35,Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0,195544.3107,0.394216669,,,,,,,,,,
48,Charles University Prague,Lodz University of Technology,1,"506,3",13,2612464.44,Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0,200958.8031,0.376194248,,,,,,,,,,
49,Charles University Prague,TECHNICAL UNIVERSITY OF SOFIA,1,1296,16,3323848.36,Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A,207740.5225,0.478633361,,,,,,,,,,
50,Charles University Prague,Poznan University of Medical Sciences,1,"431,1",7,2323038.57,Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0,331862.6529,0.334516993,,,,,,,,,,
51,Charles University Prague,University of Zagreb,3,"1287,2",57,13961302.95,University of Zagreb,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A,244935.1395,2.010424251,,,,,,,,,,
52,Charles University Prague,University of Warmia & Mazury,1,"788,5",11,2215533.75,University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0,201412.1591,0.319036325,,,,,,,,,,
53,Charles University Prague,University of Lodz,1,"509,7",17,2169549.13,University of Łódź,PL,LODZ,PL711,"51.8575538,19.4145321",10129,4147,2720,1,25000,804,1038,1842,0,127620.5371,0.31241455,,,,,,,,,,
54,Charles University Prague,Wroclaw University of Environmental & Life Sciences,1,"288,6",8,2037715.48,Wroclaw University of Environmental & Life Sciences,PL,Wroclaw,PL514,"51.111086,17.0637697",25895,11422,7570,1,8000,1230,627,1857,0,254714.435,0.293430537,,,,,,,,,,
55,Charles University Prague,Medical University of Warsaw,1,"637,7",4,1912047.45,Medical University of Warsaw,PL,Warszawa,PL911,"52.2337172,21.0714156104111",11524,5678,3695,1,9764,1323,551,1874,0,478011.8625,0.275334371,,,,,,,,,,
56,Charles University Prague,Iuliu Hatieganu University of Medicine & Pharmacy,1,"990,5",13,2973457.64,Iuliu Hatieganu University of Medicine & Pharmacy,RO,Cluj-Napoca,RO113,"46.7693367,23.5900604",11524,5678,3695,0,7153,1323,551,1874,0,228727.5108,0.428177182,,,,,,,,,,
57,Charles University Prague,Transylvania University of Brasov,1,1221,7,1577328.75,Transylvania University of Brasov,RO,Brasov,RO122,"45.6453253,25.5887936",10697,4420,3058,0,20885,2031,1623,3654,0,225332.6786,0.227134959,,,,,,,,,,
58,Charles University Prague,Alexandru Ioan Cuza University,1,"1337,3",9,1177769.69,Alexandru Ioan Cuza University,RO,Iasi,RO213,"47.1748687,27.5712428965192",16618,3015,3015,0,40000,5150,1985,7135,0,130863.2989,0.169598551,,,,,,,,,,
59,Charles University Prague,West University of Timisoara,1,"833,9",9,1120190.63,West University of Timisoara,RO,Timisoara,RO424,"45.7476982,21.2283814",7740,3244,1698,0,13805,2344,1630,3974,0,124465.6256,0.16130718,,,,,,,,,,
60,Charles University Prague,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",1,"1156,5",2,1030937.5,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",RO,Targu Mures,RO125,"46.5549736,24.581610724795418",5919,3143,1309,0,11000,3803,382,4185,0,515468.75,0.148454751,,,,,,,,,,
61,Charles University Prague,University of Craiova,1,"1150,1",13,966062.58,University of Craiova,RO,Craiova,RO411,"44.3190159,23.7965614",8205,3246,1653,0,23000,1664,525,2189,0,74312.50615,0.139112778,,,,,,,,,,
62,Charles University Prague,University of Split,1,"1088,3",17,3030046.45,University of Split,HR,Split,HR035,"43.507775,16.4690500081942",15904,6252,4056,1,26000,2093,1415,3508,N/A,178238.0265,0.436325956,,,,,,,,,,
63,Charles University Prague,UNIVERSITY OF RIJEKA,1,"825,4",12,1908024.95,University of Rijeka,HR,Rijeka,HR031,"45.28335145,14.537789935157118",14744,5403,3574,1,3000,1562,2058,3620,N/A,159002.0792,0.274755132,,,,,,,,,,
64,Charles University Prague,Technical University Kosice,1,"662,1",13,2964780.5,Technical University Kosice,SK,Kosice,SK042,"48.7250478,20.4102986",13801,6791,2888,1,9999,1480,957,2437,0,228060.0385,0.426927675,,,,,,,,,,
65,Charles University Prague,University of Pavol Jozef Safarik Kosice,1,664,4,1838822.09,University of Pavol Jozef Safarik Kosice,SK,Kosice,SK042,"48.7200293,21.2573061",12454,4274,2361,1,7000,2183,1083,3266,0,459705.5225,0.264789937,,,,,,,,,,
1,Czech Technical University Prague,UNIVERSITY OF CYPRUS,27,"3048,1",123,58094901.65,UNIVERSITY OF CYPRUS,CY,Nicosia,CY000,"35.1739302,33.364726",16954,6697,4392,0,6875,1931,1902,3833,1,472316.2736,8.365651797,,,,,,,,,,
2,Czech Technical University Prague,University of Tartu,16,"1543,3",135,52444253.64,University of Tartu,EE,Tartu,EE008,"58.3807628,26.7194208",34713,12022,7351,0,14000,2823,3227,6050,1,388475.9529,7.551959849,,,,,,,,,,
3,Czech Technical University Prague,University of Ljubljana,1380,"714,1",163,48273117.5,University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0,296154.0951,6.951317253,,,,,,,,,,
4,Czech Technical University Prague,Masaryk University Brno,211,"214,4",89,42184054.1,Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A,473978.136,6.074493595,,,,,,,,,,
5,Czech Technical University Prague,Charles University Prague,4659,"3,5",88,33702351.18,Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A,382981.2634,4.853130425,,,,,,,,,,
7,Czech Technical University Prague,Tallinn University of Technology,16,"1607,4",69,30065589.57,Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0,435733.1822,4.329437632,,,,,,,,,,
8,Czech Technical University Prague,University of Warsaw,162,"644,4",96,28918622.74,University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1,301235.6535,4.147204333,,,,,,,,,,
9,Czech Technical University Prague,Brno University of Technology,480,"216,4",60,27386453.32,Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0,456440.8887,3.92747673,,,,,,,,,,
10,Czech Technical University Prague,National University of Science & Technology POLITEHNICA Bucharest,1337,"1357,3",47,21262969.32,National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0,452403.6026,3.049311141,,,,,,,,,,
11,Czech Technical University Prague,Central European University,0,"535,8",46,20575367.03,Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A,447290.5876,2.950702461,,,,,,,,,,
12,Czech Technical University Prague,Budapest University of Technology & Economics,100,533,62,19329058.92,Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0,311759.0148,2.771970077,,,,,,,,,,
13,Czech Technical University Prague,Cyprus University of Technology,4,"3119,9",54,19267425.71,Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0,356804.1798,2.763131291,,,,,,,,,,
14,Czech Technical University Prague,Sofia University,0,1297,34,19079908.91,Sofia University,BG,Sofia,BG411,"42.6978634,23.3221789",35,24,6,1,22490,1321,718,2039,0,561173.7915,2.736239606,,,,,,,,,,
15,Czech Technical University Prague,AGH University of Krakow,1689,"540,4",54,16553204.24,AGH University of Krakow,PL,Krakow,PL213,"50.0600082,19.924412",41427,16361,8756,1,20240,1950,2886,4836,0,306540.8193,2.373886231,,,,,,,,,,
16,Czech Technical University Prague,University of Latvia,13,"1304,8",41,9299962.74,University of Latvia,LV,RIGA,LV006,"56.9493977,24.1051846",19782,7466,3496,1,15250,1824,3211,5035,0,226828.3595,1.333702719,,,,,,,,,,
17,Czech Technical University Prague,Warsaw University of Technology,913,"643,8",52,13923689.97,Warsaw University of Technology,PL,WARSZAWA,PL911,"52.22165395,21.0073577612511",43300,15433,7129,1,25021,2216,2715,4931,0,267763.2687,1.996788986,,,,,,,,,,
18,Czech Technical University Prague,Alexander Dubcek University Trencin,13,"343,7",2,12689962.5,Alexander Dubcek University Trencin,SK,Trencin,SK022,"48.8986312,18.0474701",1813,824,486,1,2999,525,323,848,N/A,6344981.25,1.819860784,,,,,,,,,,
19,Czech Technical University Prague,Jagiellonian University,1285,"542,1",52,11901816.01,Jagiellonian University,PL,Krakow,PL213,"50.0609779,19.9328423",77297,25822,15766,1,33549,6043,6706,12749,1,228881.0771,1.706833115,,,,,,,,,,
20,Czech Technical University Prague,Eötvös Loránd University,0,"534,3",28,11078888.54,Eötvös Loránd University,HU,Budapest,HU110,"47.490360949999996,19.058302460603027",28687,10656,7417,0,28542,4956,5719,10675,0,395674.5907,1.588817523,,,,,,,,,,
21,Czech Technical University Prague,Kaunas University of Technology,3,"1042,5",44,10065665.09,Kaunas University of Technology,LT,Kaunas,LT022,"54.89877845,23.9126328823828",13691,4436,2525,1,16400,3463,2092,5555,0,228765.1157,1.443511686,,,,,,,,,,
22,Czech Technical University Prague,Technical University of Ostrava,224,0,26,9844313.6,Technical University of Ostrava,CZ,Ostrava Poruba,CZ080,"49.8336617,18.1636336",18131,8543,3774,1,23558,1799,3203,5002,0,378627.4462,1.411767787,,,,,,,,,,
23,Czech Technical University Prague,Polytechnic Zagreb,0,"702,9",31,9400475.63,Polytechnic Zagreb,HR,Zagreb,HR050,"45.8010282,15.9708835",132,48,1,1,4300,,,,N/A,303241.1494,1.348117219,,,,,,,,,,
24,Czech Technical University Prague,Comenius University Bratislava,2047,"338,9",23,8495864.6,Comenius University Bratislava,SK,Bratislava,SK010,"48.1410559,17.1151675874717",34517,12980,7133,1,22817,5147,3815,8962,0,369385.4174,1.218387431,,,,,,,,,,
25,Czech Technical University Prague,Slovak University of Technology Bratislava,242,"337,4",37,8072537.81,Slovak University of Technology Bratislava,SK,Bratislava,SK010,"48.1548901,17.1178281260007",23792,7705,2929,1,14500,1942,1445,3387,0,218176.6976,1.157678361,,,,,,,,,,
26,Czech Technical University Prague,Vilnius University,29,"1146,9",36,8047928.93,Vilnius University,LT,Vilnius,LT011,"54.682708,25.2866715",28583,9744,6204,1,23517,6940,4372,11312,1,223553.5814,1.154149215,,,,,,,,,,
27,Czech Technical University Prague,Gdańsk University of Technology,0,"742,3",20,7997194.85,Gdańsk University of Technology,PL,GDANSK,PL633,"54.3482259,18.6542888",22906,8024,5202,1,14816,2978,2314,5292,0,399859.7425,1.146873467,,,,,,,,,,
28,Czech Technical University Prague,"University of Chemistry & Technology, Prague",725,"1,1",25,7476542.92,"University of Chemistry & Technology, Prague",CZ,Praha,CZ010,"50.103351,14.3898299",19911,5675,3184,1,3606,632,1405,2037,0,299061.7168,1.07220705,,,,,,,,,,
29,Czech Technical University Prague,University of Maribor,17,"589,8",32,6926672.29,University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0,216458.5091,0.993350395,,,,,,,,,,
30,Czech Technical University Prague,Technical University of Cluj-Napoca,0,"997,4",27,6678885.07,Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0,247366.1137,0.957815362,,,,,,,,,,
31,Czech Technical University Prague,Vytautas Magnus University,4,"1038,7",16,2243583.75,Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0,140223.9844,0.321751154,,,,,,,,,,
32,Czech Technical University Prague,Riga Technical University,29,"1304,6",30,6280618.51,Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0,209353.9503,0.900700166,,,,,,,,,,
33,Czech Technical University Prague,Semmelweis University,3,536,26,5575205.96,Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1,214430.9985,0.799537327,,,,,,,,,,
34,Czech Technical University Prague,Poznań University of Technology,0,"437,8",17,5388254.48,Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0,316956.1459,0.772726714,,,,,,,,,,
35,Czech Technical University Prague,Adam Mickiewicz University,0,"434,4",30,4476852.14,Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0,149228.4047,0.642022988,,,,,,,,,,
36,Czech Technical University Prague,Vilnius Gediminas Technical University,4,"1153,3",21,1953341.4,Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0,93016.25714,0.280127653,,,,,,,,,,
37,Czech Technical University Prague,Silesian University of Technology,35,"449,9",14,4455062.99,Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0,318218.785,0.638898218,,,,,,,,,,
38,Czech Technical University Prague,Szeged University,10,"699,9",22,4436448.26,Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0,201656.7391,0.636228689,,,,,,,,,,
39,Czech Technical University Prague,Wroclaw University of Science & Technology,25,"293,6",27,4394292.98,Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0,162751.5919,0.630183223,,,,,,,,,,
40,Czech Technical University Prague,University of Debrecen,171,"764,9",36,3928536.47,University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0,109126.0131,0.563389329,,,,,,,,,,
41,Czech Technical University Prague,University of Pecs,9,"717,1",11,3240164.06,University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0,294560.3691,0.464670207,,,,,,,,,,
42,Czech Technical University Prague,University of Gdansk,0,"748,4",12,3671677.64,University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0,305973.1367,0.526553341,,,,,,,,,,
43,Czech Technical University Prague,Warsaw University of Life Sciences,7,"646,5",17,3463222.01,Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0,203718.9418,0.49665883,,,,,,,,,,
44,Czech Technical University Prague,University of Bucharest,112,"1361,4",27,3451021.61,University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0,127815.6152,0.494909177,,,,,,,,,,
45,Czech Technical University Prague,Medical University of Bialystok,0,"832,4",1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0,3139200,0.450191005,,,,,,,,,,
46,Czech Technical University Prague,Babes Bolyai University from Cluj,557,"998,2",16,3429908.06,Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A,214369.2538,0.491881294,,,,,,,,,,
47,Czech Technical University Prague,Nicolaus Copernicus University,17,"617,7",14,2737620.35,Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0,195544.3107,0.392600681,,,,,,,,,,
48,Czech Technical University Prague,Lodz University of Technology,25,"510,9",13,2612464.44,Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0,200958.8031,0.374652138,,,,,,,,,,
49,Czech Technical University Prague,TECHNICAL UNIVERSITY OF SOFIA,0,"1302,3",16,3323848.36,Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A,207740.5225,0.476671329,,,,,,,,,,
