,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)",avg contrib per project,contrib horizon % of total,,var1,var2,var3,var4,var5,var6,var7,var8,var9
20,UNIVERSITY OF CYPRUS,Kaunas University of Technology,5,3795,44,10065665.09,Kaunas University of Technology,LT,Kaunas,LT022,"54.89877845,23.9126328823828",13691,4436,2525,1,16400,3463,2092,5555,0,228765.1157,1.491374554,,0.83,0.00,2.46,0.27,0.00,0.80,0.15,0.00,0.45
21,UNIVERSITY OF CYPRUS,Technical University of Ostrava,3,"1655,5",26,9844313.60,Technical University of Ostrava,CZ,Ostrava Poruba,CZ080,"49.8336617,18.1636336",18131,8543,3774,1,23558,1799,3203,5002,0,378627.4462,1.458578114,,0.77,0.00,3.62,0.36,0.00,1.71,0.16,0.00,0.75
22,UNIVERSITY OF CYPRUS,Polytechnic Zagreb,0,"2535,3",31,9400475.63,Polytechnic Zagreb,HR,Zagreb,HR050,"45.8010282,15.9708835",132,48,1,1,4300,,,,N/A,303241.1494,1.392817069,,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
23,UNIVERSITY OF CYPRUS,Comenius University Bratislava,57,"2713,4",23,8495864.60,Comenius University Bratislava,SK,Bratislava,SK010,"48.1410559,17.1151675874717",34517,12980,7133,1,22817,5147,3815,8962,0,369385.4174,1.258785799,,1.51,0.00,3.85,0.57,0.00,1.45,0.31,0.00,0.80
24,UNIVERSITY OF CYPRUS,Slovak University of Technology Bratislava,7,"2715,3",37,8072537.81,Slovak University of Technology Bratislava,SK,Bratislava,SK010,"48.1548901,17.1178281260007",23792,7705,2929,1,14500,1942,1445,3387,0,218176.6976,1.196063784,,1.64,0.00,7.02,0.53,0.00,2.27,0.20,0.00,0.86
25,UNIVERSITY OF CYPRUS,Vilnius University,1644,"3899,4",36,8047928.93,Vilnius University,LT,Vilnius,LT011,"54.682708,25.2866715",28583,9744,6204,1,23517,6940,4372,11312,1,223553.5814,1.192417621,,1.22,0.00,2.53,0.41,0.00,0.86,0.26,0.00,0.55
26,UNIVERSITY OF CYPRUS,Gdańsk University of Technology,0,"3602,2",20,7997194.85,Gdańsk University of Technology,PL,GDANSK,PL633,"54.3482259,18.6542888",22906,8024,5202,1,14816,2978,2314,5292,0,399859.7425,1.184900629,,1.55,0.00,4.33,0.54,0.00,1.52,0.35,0.00,0.98
27,UNIVERSITY OF CYPRUS,"University of Chemistry & Technology, Prague",2,"3047,9",25,7476542.92,"University of Chemistry & Technology, Prague",CZ,Praha,CZ010,"50.103351,14.3898299",19911,5675,3184,1,3606,632,1405,2037,0,299061.7168,1.10775848,,5.52,0.00,9.77,1.57,0.00,2.79,0.88,0.00,1.56
28,UNIVERSITY OF CYPRUS,University of Maribor,27,"2653,2",32,6926672.29,University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0,216458.5091,1.026287156,,1.49,0.00,2.48,0.50,0.00,0.83,0.50,0.00,0.83
29,UNIVERSITY OF CYPRUS,Technical University of Cluj-Napoca,0,"2278,4",27,6678885.07,Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0,247366.1137,0.989573878,,0.77,0.00,6.44,0.14,0.00,1.16,0.33,0.00,2.73
30,UNIVERSITY OF CYPRUS,Vytautas Magnus University,3,"3791,2",16,2243583.75,Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0,140223.9844,0.332419535,,1.33,0.00,1.46,0.50,0.00,0.55,0.30,0.00,0.33
31,UNIVERSITY OF CYPRUS,Riga Technical University,731,"4057,2",30,6280618.51,Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0,209353.9503,0.9305649,,0.95,0.00,2.02,0.42,0.00,0.90,0.19,0.00,0.41
32,UNIVERSITY OF CYPRUS,Semmelweis University,18,"2514,6",26,5575205.96,Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1,214430.9985,0.82604778,,4.07,0.01,13.36,1.12,0.00,3.67,0.75,0.00,2.48
33,UNIVERSITY OF CYPRUS,Poznań University of Technology,0,"3422,8",17,5388254.48,Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0,316956.1459,0.798348201,,0.51,0.00,4.39,0.19,0.00,1.62,0.10,0.00,0.90
34,UNIVERSITY OF CYPRUS,Adam Mickiewicz University,33,"3418,2",30,4476852.14,Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0,149228.4047,0.663310701,,0.93,0.01,4.02,0.29,0.00,1.26,0.17,0.00,0.75
35,UNIVERSITY OF CYPRUS,Vilnius Gediminas Technical University,0,"3905,8",21,1953341.40,Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0,93016.25714,0.289415914,,1.24,0.01,1.69,0.48,0.00,0.66,0.24,0.00,0.33
36,UNIVERSITY OF CYPRUS,Silesian University of Technology,4,"3071,5",14,4455062.99,Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0,318218.785,0.660082321,,1.46,0.01,8.24,0.60,0.00,3.37,0.35,0.00,1.99
37,UNIVERSITY OF CYPRUS,Szeged University,12,"2363,5",22,4436448.26,Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0,201656.7391,0.657324279,,1.65,0.01,5.68,0.43,0.00,1.48,0.27,0.00,0.91
38,UNIVERSITY OF CYPRUS,Wroclaw University of Science & Technology,8,"3238,6",27,4394292.98,Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0,162751.5919,0.651078361,,1.40,0.01,6.77,0.45,0.00,2.19,0.24,0.00,1.16
39,UNIVERSITY OF CYPRUS,University of Debrecen,1739,"2593,3",36,3928536.47,University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0,109126.0131,0.582069766,,1.16,0.01,7.74,0.33,0.00,2.19,0.21,0.00,1.37
40,UNIVERSITY OF CYPRUS,University of Pecs,25,"2476,5",11,3240164.06,University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0,294560.3691,0.48007739,,1.01,0.01,4.77,0.29,0.00,1.38,0.21,0.00,0.98
41,UNIVERSITY OF CYPRUS,University of Gdansk,2,"3608,3",12,3671677.64,University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0,305973.1367,0.544012398,,0.65,0.01,5.00,0.22,0.00,1.67,0.14,0.00,1.08
42,UNIVERSITY OF CYPRUS,Warsaw University of Life Sciences,0,3399,17,3463222.01,Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0,203718.9418,0.513126667,,1.08,0.00,4.66,0.43,0.00,1.84,0.28,0.00,1.21
43,UNIVERSITY OF CYPRUS,University of Bucharest,379,"1833,1",27,3451021.61,University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0,127815.6152,0.511319001,,0.82,0.01,7.02,0.27,0.00,2.31,0.27,0.00,2.31
44,UNIVERSITY OF CYPRUS,Medical University of Bialystok,5,"3584,9",1,3139200.00,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0,3139200,0.465118098,,2.03,0.00,27.94,0.78,0.00,10.68,0.53,0.00,7.33
45,UNIVERSITY OF CYPRUS,Babes Bolyai University from Cluj,116,"2277,9",16,3429908.06,Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A,214369.2538,0.508190721,,0.57,0.01,3.10,0.21,0.00,1.15,0.12,0.00,0.63
46,UNIVERSITY OF CYPRUS,Nicolaus Copernicus University,17,"3442,8",14,2737620.35,Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0,195544.3107,0.405618237,,1.16,0.01,5.97,0.38,0.00,1.93,0.26,0.00,1.35
47,UNIVERSITY OF CYPRUS,Lodz University of Technology,0,"3280,4",13,2612464.44,Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0,200958.8031,0.38707457,,1.91,0.01,4.66,0.58,0.00,1.42,0.31,0.00,0.75
48,UNIVERSITY OF CYPRUS,TECHNICAL UNIVERSITY OF SOFIA,0,"1740,2",16,3323848.36,Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A,207740.5225,0.492476435,,0.67,0.00,2.47,0.25,0.00,0.94,0.12,0.00,0.44
49,UNIVERSITY OF CYPRUS,Poznan University of Medical Sciences,2,"3422,5",7,2323038.57,Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0,331862.6529,0.344191922,,2.39,0.01,20.03,0.91,0.00,7.62,0.73,0.00,6.12
50,UNIVERSITY OF CYPRUS,University of Zagreb,62,"2425,3",57,13961302.95,University of Zagreb ,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A,244935.1395,2.068569913,,0.05,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00
51,UNIVERSITY OF CYPRUS,University of Warmia & Mazury,2,"3545,6",11,2215533.75,University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0,201412.1591,0.32826352,,0.56,0.01,2.29,0.18,0.00,0.76,0.12,0.00,0.50
52,UNIVERSITY OF CYPRUS,University of Lodz,4,3281,17,2169549.13,University of Łódź,PL,LODZ,PL711,"51.8575538,19.4145321",10129,4147,2720,1,25000,804,1038,1842,0,127620.5371,0.321450231,,0.41,0.00,5.50,0.17,0.00,2.25,0.11,0.00,1.48
53,UNIVERSITY OF CYPRUS,Wroclaw University of Environmental & Life Sciences,0,"3238,2",8,2037715.48,Wroclaw University of Environmental & Life Sciences,PL,Wroclaw,PL514,"51.111086,17.0637697",25895,11422,7570,1,8000,1230,627,1857,0,254714.435,0.30191716,,3.24,0.01,13.94,1.43,0.01,6.15,0.95,0.00,4.08
54,UNIVERSITY OF CYPRUS,Medical University of Warsaw,33,3371,4,1912047.45,Medical University of Warsaw,PL,Warszawa,PL911,"52.2337172,21.0714156104111",11524,5678,3695,1,9764,1323,551,1874,0,478011.8625,0.283297615,,1.18,0.01,6.15,0.58,0.00,3.03,0.38,0.00,1.97
55,UNIVERSITY OF CYPRUS,Iuliu Hatieganu University of Medicine & Pharmacy,13,"2276,6",13,2973457.64,Iuliu Hatieganu University of Medicine & Pharmacy,RO,Cluj-Napoca,RO113,"46.7693367,23.5900604",11524,5678,3695,0,7153,1323,551,1874,0,228727.5108,0.440560959,,1.61,0.00,6.15,0.79,0.00,3.03,0.52,0.00,1.97
